"TOA5","S3_fenwell","CR1000X","4723","CR1000X.Std.03.02","CPU:2019.11_S3BogWell.cr1x","39341","S3FW_Daily"
TIMESTAMP,RECORD,MinWTElev,MaxWTElev,MinWTElev_m,MaxWTElev_m,MinAirT,MaxAirT,PAR_Tot_Tot
TS,RN,ft ASL,ft ASL,m ASL,m ASL,Deg C,Deg C,mmol/mÂ²
,,Smp,Smp,Smp,Smp,Smp,Smp,Tot
2021-03-05 23:59:55,64,1357.332,1357.339,413.71,413.72,NAN,NAN,0
2021-03-06 23:59:55,65,1357.339,1357.348,413.72,413.72,NAN,NAN,0
2021-03-07 23:59:55,66,1357.348,1357.36,413.72,413.72,NAN,NAN,0
2021-03-08 23:59:55,67,1357.357,1357.375,413.72,413.73,NAN,NAN,0
2021-03-09 23:59:55,68,1357.372,1357.44,413.73,413.75,NAN,NAN,0
2021-03-10 23:59:55,69,NAN,NAN,NAN,NAN,NAN,NAN,0
2021-03-11 23:59:55,70,1357.446,1357.449,413.75,413.75,NAN,NAN,0
2021-03-12 23:59:55,71,1357.443,1357.446,413.75,413.75,NAN,NAN,0
2021-03-13 23:59:55,72,1357.44,1357.465,413.75,413.76,NAN,NAN,0
2021-03-14 23:59:55,73,1357.458,1357.465,413.75,413.76,NAN,NAN,0
2021-03-15 23:59:55,74,1357.455,1357.458,413.75,413.75,NAN,NAN,0
2021-03-16 23:59:55,75,1357.452,1357.455,413.75,413.75,NAN,NAN,0
2021-03-17 23:59:55,76,1357.449,1357.458,413.75,413.75,NAN,NAN,0
2021-03-18 23:59:55,0,1357.44,1357.452,413.75,413.75,NAN,NAN,0
2021-03-19 23:59:55,1,1357.446,1357.467,413.75,413.76,NAN,NAN,0
2021-03-20 23:59:55,2,1357.461,1357.492,413.75,413.76,NAN,NAN,0
2021-03-21 23:59:55,3,1357.489,1357.498,413.76,413.77,NAN,NAN,0
2021-03-22 23:59:55,4,1357.476,1357.495,413.76,413.76,NAN,NAN,0
2021-03-23 23:59:55,5,1357.464,1357.476,413.76,413.76,NAN,NAN,0
2021-03-24 23:59:55,6,1357.467,1357.513,413.76,413.77,NAN,NAN,0
2021-03-25 23:59:55,7,1357.476,1357.501,413.76,413.77,NAN,NAN,0
2021-03-26 23:59:55,8,1357.458,1357.476,413.75,413.76,NAN,NAN,0
2021-03-27 23:59:55,9,1357.446,1357.483,413.75,413.76,NAN,NAN,0
2021-03-28 23:59:55,10,1357.464,1357.479,413.76,413.76,NAN,NAN,0
2021-03-29 23:59:55,11,NAN,NAN,NAN,NAN,NAN,NAN,0
2021-03-30 23:59:55,12,NAN,NAN,NAN,NAN,NAN,NAN,0
2021-03-31 23:59:55,13,NAN,NAN,NAN,NAN,NAN,NAN,0
2021-04-01 23:59:55,14,1357.407,1357.41,413.74,413.74,NAN,NAN,0
2021-04-02 23:59:55,15,NAN,NAN,NAN,NAN,NAN,NAN,0
2021-04-03 23:59:55,16,NAN,NAN,NAN,NAN,NAN,NAN,0
2021-04-04 23:59:55,17,NAN,NAN,NAN,NAN,NAN,NAN,0
2021-04-05 23:59:55,18,NAN,NAN,NAN,NAN,NAN,NAN,0
2021-04-06 23:59:55,19,NAN,NAN,NAN,NAN,NAN,NAN,0
2021-04-07 23:59:55,20,NAN,NAN,NAN,NAN,NAN,NAN,0
2021-04-08 23:59:55,21,NAN,NAN,NAN,NAN,NAN,NAN,0
2021-04-09 23:59:55,22,NAN,NAN,NAN,NAN,NAN,NAN,0
2021-04-10 23:59:55,23,NAN,NAN,NAN,NAN,NAN,NAN,0
2021-04-11 23:59:55,24,NAN,NAN,NAN,NAN,NAN,NAN,0
2021-04-12 23:59:55,25,NAN,NAN,NAN,NAN,NAN,NAN,0
