"TOA5","S6_Weir","CR1000X","4737","CR1000X.Std.03.02","CPU:2019.08_S6Weir.CR1x","42030","S6ShelterT"
TIMESTAMP,RECORD,Batt_Volt,GageHouseT,WeirCoverT
TS,RN,V DC,Deg C,Deg C
,,Smp,Smp,Smp
2021-05-14 15:30:00,390,13.03,16.4,16.4
2021-05-14 16:00:00,391,13.01,15.1,15.1
2021-05-14 16:30:00,392,12.99,14.5,14.5
2021-05-14 17:00:00,393,12.98,14.2,14.2
2021-05-14 17:30:00,394,12.97,14,14
2021-05-14 18:00:00,395,12.95,13.8,13.8
2021-05-14 18:30:00,396,12.95,13.5,13.5
2021-05-14 19:00:00,397,12.94,13.3,13.3
2021-05-14 19:30:00,398,12.92,13.1,13.1
2021-05-14 20:00:00,399,12.92,12.6,12.6
2021-05-14 20:30:00,400,12.91,12.2,12.2
2021-05-14 21:00:00,401,12.91,11.8,11.8
2021-05-14 21:30:00,402,12.9,11.5,11.5
2021-05-14 22:00:00,403,12.9,11.3,11.3
2021-05-14 22:30:00,404,12.9,11.2,11.2
2021-05-14 23:00:00,405,12.89,11,11
2021-05-14 23:30:00,406,12.89,10.8,10.8
2021-05-15 00:00:00,407,12.88,10.5,10.5
2021-05-15 00:30:00,408,12.88,10.3,10.3
2021-05-15 01:00:00,409,12.88,10,10
2021-05-15 01:30:00,410,12.88,9.7,9.7
2021-05-15 02:00:00,411,12.87,9.4,9.4
2021-05-15 02:30:00,412,12.87,9.1,9.1
2021-05-15 03:00:00,413,12.87,8.6,8.6
2021-05-15 03:30:00,414,12.86,8,8
2021-05-15 04:00:00,415,12.86,7.7,7.7
2021-05-15 04:30:00,416,12.86,7.3,7.3
2021-05-15 05:00:00,417,12.86,7.3,7.3
2021-05-15 05:30:00,418,12.86,7.6,7.6
2021-05-15 06:00:00,419,12.85,8.1,8.1
2021-05-15 06:30:00,420,12.86,8.4,8.4
2021-05-15 07:00:00,421,12.86,8.7,8.7
2021-05-15 07:30:00,422,12.88,9.3,9.3
2021-05-15 08:00:00,423,12.87,9.8,9.8
2021-05-15 08:30:00,424,12.9,10.5,10.5
2021-05-15 09:00:00,425,12.93,11.4,11.4
2021-05-15 09:30:00,426,13.04,12.4,12.4
2021-05-15 10:00:00,427,13.2,14.1,14.1
2021-05-15 10:30:00,428,13.52,16.4,16.4
2021-05-15 11:00:00,429,14.22,18.7,18.7
2021-05-15 11:30:00,430,13.33,19.9,19.9
2021-05-15 12:00:00,431,13.39,21.2,21.2
2021-05-15 12:30:00,432,14.16,20.7,20.7
2021-05-15 13:00:00,433,13.2,22.9,22.9
2021-05-15 13:30:00,434,14.18,20.6,20.6
2021-05-15 14:00:00,435,13.5,22.1,22.1
2021-05-15 14:30:00,436,13.28,23.2,23.2
2021-05-15 15:00:00,437,13.16,23.3,23.3
2021-05-15 15:30:00,438,13.31,25.1,25.1
2021-05-15 16:00:00,439,13.29,24.9,24.9
2021-05-15 16:30:00,440,13.1,22.5,22.5
2021-05-15 17:00:00,441,13.09,21.5,21.5
2021-05-15 17:30:00,442,13.05,22.3,22.3
2021-05-15 18:00:00,443,13.03,21.5,21.5
2021-05-15 18:30:00,444,13.01,20.3,20.3
2021-05-15 19:00:00,445,12.99,19.2,19.2
2021-05-15 19:30:00,446,12.98,17.9,17.9
2021-05-15 20:00:00,447,12.97,16.6,16.6
2021-05-15 20:30:00,448,12.96,15.6,15.6
2021-05-15 21:00:00,449,12.95,14.9,14.9
2021-05-15 21:30:00,450,12.95,14.2,14.2
2021-05-15 22:00:00,451,12.94,13.4,13.4
2021-05-15 22:30:00,452,12.94,12.8,12.8
2021-05-15 23:00:00,453,12.93,12.3,12.3
2021-05-15 23:30:00,454,12.93,12,12
2021-05-16 00:00:00,455,12.92,11.5,11.5
2021-05-16 00:30:00,456,12.92,10.9,10.9
2021-05-16 01:00:00,457,12.92,10.4,10.4
2021-05-16 01:30:00,458,12.91,10,10
2021-05-16 02:00:00,459,12.91,9.4,9.4
2021-05-16 02:30:00,460,12.91,9.1,9.1
2021-05-16 03:00:00,461,12.9,8.7,8.7
2021-05-16 03:30:00,462,12.9,8.1,8.1
2021-05-16 04:00:00,463,12.9,7.6,7.6
2021-05-16 04:30:00,464,12.89,7.2,7.2
2021-05-16 05:00:00,465,12.89,7,7
2021-05-16 05:30:00,466,12.89,7.1,7.1
2021-05-16 06:00:00,467,12.89,7.4,7.4
2021-05-16 06:30:00,468,12.9,8.1,8.1
2021-05-16 07:00:00,469,12.91,9,9
2021-05-16 07:30:00,470,12.92,10.2,10.2
2021-05-16 08:00:00,471,12.93,12,12
2021-05-16 08:30:00,472,12.96,13.7,13.7
2021-05-16 09:00:00,473,13,14.9,14.9
2021-05-16 09:30:00,474,13.09,16.3,16.3
2021-05-16 10:00:00,475,13.19,17.8,17.8
2021-05-16 10:30:00,476,13.62,20.1,20.1
2021-05-16 11:00:00,477,14.1,22.6,22.6
2021-05-16 11:30:00,478,14,25.3,25.3
2021-05-16 12:00:00,479,13.98,27.2,27.2
2021-05-16 12:30:00,480,13.37,27.1,27.1
2021-05-16 13:00:00,481,13.51,29,29
2021-05-16 13:30:00,482,13.29,27.7,27.7
2021-05-16 14:00:00,483,13.25,28.4,28.4
2021-05-16 14:30:00,484,13.19,26.8,26.8
2021-05-16 15:00:00,485,13.2,27.3,27.3
2021-05-16 15:30:00,486,13.12,27.5,27.5
2021-05-16 16:00:00,487,13.23,26,26
2021-05-16 16:30:00,488,13.1,24.8,24.8
2021-05-16 17:00:00,489,13.07,23.7,23.7
2021-05-16 17:30:00,490,13.07,23.4,23.4
2021-05-16 18:00:00,491,13.04,23.7,23.7
2021-05-16 18:30:00,492,13.03,22.5,22.5
2021-05-16 19:00:00,493,13.02,21.2,21.2
2021-05-16 19:30:00,494,13.01,20.3,20.3
2021-05-16 20:00:00,495,13,19.4,19.4
2021-05-16 20:30:00,496,12.99,18.5,18.5
2021-05-16 21:00:00,497,12.99,17.8,17.8
