"TOA5","S4_bogwell","CR1000X","4732","CR1000X.Std.03.02","CPU:2021.05.04_S4BogWell.cr1x","12388","S4BWMet"
TIMESTAMP,RECORD,AirT,RH,PAR_Den,BP,BPnorm,Batt_volt
TS,RN,Deg C,%,Âµmol/s/mÂ²,kPa,kPa,V DC
,,Smp,Smp,Smp,Smp,Smp,Smp
2020-10-24 19:30:00,443,NAN,0,0,0,0,
2020-10-24 20:00:00,444,NAN,0,0,0,0,
2020-10-24 20:30:00,445,NAN,0,0,0,0,
2020-10-24 21:00:00,446,NAN,0,0,0,0,
2020-10-24 21:30:00,447,NAN,0,0,0,0,
2020-10-24 22:00:00,448,NAN,0,0,0,0,
2020-10-24 22:30:00,449,NAN,0,0,0,0,
2020-10-24 23:00:00,450,NAN,0,0,0,0,
2020-10-24 23:30:00,451,NAN,0,0,0,0,
2020-10-25 00:00:00,452,NAN,0,0,0,0,
2020-10-25 00:30:00,453,NAN,0,0,0,0,
2020-10-25 01:00:00,454,NAN,0,0,0,0,
2020-10-25 01:30:00,455,NAN,0,0,0,0,
2020-10-25 02:00:00,456,NAN,0,0,0,0,
2020-10-25 02:30:00,457,NAN,0,0,0,0,
2020-10-25 03:00:00,458,NAN,0,0,0,0,
2020-10-25 03:30:00,459,NAN,0,0,0,0,
2020-10-25 04:00:00,460,NAN,0,0,0,0,
2020-10-25 04:30:00,461,NAN,0,0,0,0,
2020-10-25 05:00:00,462,NAN,0,0,0,0,
2020-10-25 05:30:00,463,NAN,0,0,0,0,
2020-10-25 06:00:00,464,NAN,0,0,0,0,
2020-10-25 06:30:00,465,NAN,0,0,0,0,
2020-10-25 07:00:00,466,NAN,0,0,0,0,
2020-10-25 07:30:00,467,NAN,0,0,0,0,
